stop_id,stop_name,parent_station,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding,platform_code
de:12073:900340077::1,"Crussow, Mitte",,Bushalt Angermünder Straße hinter Sandangerweg,53.00009,14.078907,,,
de:12073:900340078::1,"Crussow, Neubau",,Bushalt Angermünder Straße hinter Gellmerdorfer Straße,52.99845,14.085596,,,
de:12073:900340078::2,"Crussow, Neubau",,Bushalt Angermünder Straße vor Felchower Straße,52.998398,14.086216,,,
de:12073:900340079::2,"Crussow, Nord",,Bushalt Felchower Straße hinter Steinstraße,53.001476,14.0816,,,
de:12073:900340081::1,"Crussow, Gellmersdorfer Str.",,Bushalt Gellmersdorfer Straße,52.995636,14.076085,,,
de:12073:900340085::1,"Damitzow, Mitte",,Bushalt Damitzower Straße hinter B 113,53.28579,14.330431,,,
de:12073:900340085::2,"Damitzow, Mitte",,Bushalt Damitzower Straße vor B 113,53.285564,14.330369,,,
de:12073:900340100::1,"Angermünde, Am Markt",,Bushalt Am Markt Position 1,53.018898,14.003795,,,
de:12073:900340100::2,"Angermünde, Am Markt",,Bushalt Am Markt Position 2,53.018867,14.004027,,,
de:12073:900340100::3,"Angermünde, Am Markt",,Bushalt Am Markt Position 3,53.01884,14.004267,,,
de:12073:900340100::4,"Angermünde, Am Markt",,Bushalt Am Markt Position 4,53.018803,14.004559,,,
de:12073:900340100::5,"Angermünde, Am Markt",,Bushalt Am Markt Position 5,53.01877,14.004879,,,
de:12073:900340101::1,"Angermünde, Bahnüberfahrtshaus",,Bushalt B 158 in Richtung Südosten,52.99595,14.024157,,,
de:12073:900340101::2,"Angermünde, Bahnüberfahrtshaus",,Bushalt B 158 in Richtung Nordwesten,52.995945,14.024364,,,
de:12073:900340106::1,"Angermünde, Büchnerstr.",,Bushalt Büchnerstraße vor Heinestraße,53.013245,14.023393,,,
de:12073:900340106::2,"Angermünde, Büchnerstr.",,Bushalt Büchnerstraße hinter Heinestraße,53.01324,14.023302,,,
de:12073:900340107::1,"Angermünde, Chausseehaus",,Bushalt B 158 in Richtung Osten,52.998535,14.01062,,,
